sensorId,createdAt,value,lat,lon
63f358354fbabe00074ecba3,2023-02-28T01:21:21.448Z,0.89,47.47018,19.078783
6217b0854f7ef7001bb35b33,2023-02-28T01:21:14.388Z,0.53,47.475369,19.015587
61a12255d85cc7001bf7fdab,2023-02-28T01:21:11.353Z,1.12,47.530403,19.281569
609ee46125b716001c53b1fc,2023-02-28T01:21:08.304Z,14.87,47.506199,19.133976
63f358354fbabe00074ecba3,2023-02-28T01:21:05.913Z,0.85,47.47018,19.078783
612f4f89157184001bdf11f5,2023-02-28T01:21:03.905Z,20.45,47.504432,19.075575
633c4150ca8ac8001b7abbfc,2023-02-28T01:20:53.529Z,3.06,47.540238,19.072244
5e41889919585f001bae8018,2023-02-28T01:20:53.484Z,3.16,47.536316,19.06253
61f40eeddb392f001b0f419c,2023-02-28T01:20:53.419Z,1.16,47.523028,19.21117
606d6cfc4393eb001c86ed57,2023-02-28T01:20:53.350Z,0.21,47.537799,19.06623
63f358354fbabe00074ecba3,2023-02-28T01:20:52.813Z,0.85,47.47018,19.078783
6348fcc09b62e5001b25ac3c,2023-02-28T01:20:52.768Z,1.25,47.473804,19.013598
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:20:47.775Z,-0.16,47.5026,18.9403
615a29387ea3fe001c5c6730,2023-02-28T01:20:47.385Z,-0.40,47.50262,18.94011
61c1093fe2a8da001b202854,2023-02-28T01:20:40.101Z,0.67,47.441326,19.16742
6373ce7d1de963001bf57c88,2023-02-28T01:20:39.797Z,-0.35,47.602859,19.002431
63f358354fbabe00074ecba3,2023-02-28T01:20:37.414Z,0.83,47.47018,19.078783
611f76f5b09114001b548f8d,2023-02-28T01:20:30.638Z,3.12,47.504324,19.074182
5e56763a37f639001bd14bb4,2023-02-28T01:20:29.282Z,0.53,47.45692,19.016782
6040c7618ad04a001bc570a9,2023-02-28T01:20:24.903Z,2.90,47.4584,19.017398
6353be94139d1f001b1b21fb,2023-02-28T01:20:24.431Z,2.26,47.513008,19.054063
609baf0325b716001cb9c8fe,2023-02-28T01:20:22.867Z,-0.01,47.532085,19.07774
63f358354fbabe00074ecba3,2023-02-28T01:20:22.139Z,0.84,47.47018,19.078783
6346b8ea06f5f7001b77b659,2023-02-28T01:20:18.170Z,0.28,47.565538,19.086423
5f4a2ed8327264001be939e6,2023-02-28T01:20:17.128Z,4.08,47.418744,19.015003
602d0601a79cbd001bdc5613,2023-02-28T01:20:15.637Z,3.01,47.506496,19.075401
